cik,net_loss
1750,0
1800,0
2098,0
2186,0
2488,0
3197,1
3453,0
3499,0
3570,1
4281,0
4962,0
4977,0
5513,0
5981,1
6176,1
6201,1
7084,0
7431,0
7536,0
7623,0
7789,0
8063,0
8146,0
8504,0
8670,0
8818,0
8858,0
9092,0
9326,0
10329,0
10456,1
11544,0
12040,0
12208,1
12239,1
12659,0
12927,1
13156,0
14272,0
14707,0
14846,1
14930,0
15357,1
15615,0
16058,0
16160,0
16732,0
16918,0
17313,0
17843,0
18255,0
18498,1
18926,1
19584,0
19617,0
19745,0
19871,1
20212,0
20286,0
20639,1
21076,0
21175,0
21344,0
21535,1
21665,0
22356,0
22701,1
23194,0
23197,1
23217,0
23795,0
24090,0
24741,0
25232,1
25445,0
25475,0
25743,0
26058,0
26324,0
26780,0
27419,0
27904,1
27996,0
28823,0
28917,0
29002,0
29332,0
29534,0
29644,0
29905,0
29989,0
30305,0
30625,0
30697,0
31107,0
31235,1
31462,0
31667,1
31791,0
32604,0
33185,0
33213,0
33488,0
33533,0
33992,1
34067,1
34088,0
34285,1
34903,0
34956,1
35527,0
36029,0
36104,0
36146,0
36270,0
36377,0
36840,0
36966,0
37472,0
37785,1
37808,0
38009,0
38723,0
38725,0
39263,0
39311,0
39368,0
39911,0
40211,0
40533,0
40545,0
40704,0
40729,0
40987,0
42582,1
42682,0
42888,0
43196,1
43920,0
45012,0
45876,1
45919,1
46080,0
46195,0
47111,0
48287,1
48898,0
49071,0
49196,0
49754,0
50471,0
50863,1
51143,0
51253,0
51434,0
52827,1
54187,1
55135,1
55242,0
55785,0
56047,0
56701,1
57515,0
58492,0
59255,0
59478,0
59527,0
59558,1
60086,0
60519,0
60667,0
60714,0
61004,1
61986,1
62234,1
62709,0
62996,0
63276,0
63330,1
63754,0
63908,0
64040,0
64463,1
64803,0
64996,0
65172,0
65312,0
65770,1
66004,0
66382,0
66570,0
66740,0
67215,0
67716,0
68505,0
68622,1
69422,0
69488,1
69633,1
70502,0
70858,0
70866,1
71557,0
71691,0
71829,0
72162,0
72444,0
72573,0
72903,0
72909,0
72971,0
73124,0
73290,1
73309,0
74046,0
74208,0
74260,0
75252,1
75288,0
75362,0
75677,0
76282,0
76605,0
77360,0
77476,0
77543,0
78003,0
78128,0
78239,0
78814,0
78890,0
79282,0
79661,0
79879,0
80035,0
80172,0
80420,0
80424,0
80661,0
81018,0
81061,0
81362,0
81955,1
82020,0
82473,1
82811,0
83246,0
83350,0
84246,0
84748,0
84839,0
85535,0
85961,0
86312,0
87050,1
87347,0
87802,1
88000,0
88205,0
88941,0
89089,0
89439,0
89800,0
90498,0
91142,0
91388,0
91440,0
91576,0
91767,0
91882,0
92122,0
92380,0
92521,0
93314,1
93389,0
93410,0
93556,0
93751,0
94049,1
94344,0
95029,0
95574,0
95953,1
96021,0
96271,0
96536,0
96869,0
96943,1
97134,0
97210,0
97216,1
97476,0
97745,0
98222,0
98362,0
98677,0
99780,0
100122,0
100378,0
100517,0
100591,0
100726,1
100790,1
100885,0
101199,0
101295,0
101382,0
101538,1
101594,1
101829,0
101984,1
102212,0
102729,0
102752,0
103145,1
103595,0
103730,0
104169,0
104918,0
105016,0
105319,1
105418,0
105634,0
105744,1
105770,0
106040,0
106532,0
106535,0
106640,1
107263,0
107833,0
108385,0
108516,0
108985,0
109198,0
109380,0
109563,0
109657,1
110471,0
110621,0
200406,0
202058,0
203596,0
205402,0
215466,0
216085,0
216228,0
217346,0
230557,0
275053,0
275880,0
277135,0
277509,0
277638,1
277948,0
278165,1
310142,0
310158,1
310354,0
310522,0
310764,0
311094,0
312257,0
313616,0
313927,0
314227,1
314489,0
314808,1
315213,0
315293,0
315545,1
315709,0
315852,0
315958,0
316709,0
317540,0
318154,0
318300,0
318306,1
318673,0
318833,1
319201,0
320017,1
320121,0
320187,0
320335,0
350698,0
350852,0
351569,0
351789,1
351998,1
352825,0
352915,0
352955,0
352991,0
354190,0
354647,0
354950,0
355019,0
355811,0
355948,0
356171,0
357173,0
357301,0
700564,0
700565,0
700841,0
700923,0
701347,0
701719,0
701985,0
702165,0
703351,0
703604,0
704440,1
704532,0
705432,0
706129,0
706863,0
707179,0
707549,0
707605,0
708781,0
708821,1
708955,0
709005,0
709337,0
711034,1
711377,1
711669,0
712034,0
712534,0
712537,0
712770,0
712771,0
714256,0
714310,0
714395,0
714562,0
714712,0
715072,0
715579,0
715787,0
715957,0
716133,1
716634,1
716643,0
717423,0
717538,0
717605,0
717806,0
718332,0
718413,0
718937,0
719135,1
719220,0
719402,0
719413,1
719733,1
719955,0
720672,0
720762,1
720858,0
721693,1
721994,0
722313,1
722572,1
723188,0
723254,0
723269,1
723531,0
723533,1
723612,1
723646,0
725394,1
726601,0
726854,0
726865,1
727273,1
727346,0
727510,1
728387,1
728391,0
728535,0
729986,0
730263,0
730272,0
730349,1
730464,0
730708,0
731012,0
731122,0
731288,0
731653,0
731766,0
732026,1
732417,0
732712,0
732717,0
732834,1
733590,0
736012,1
736772,0
737468,0
737875,0
738214,1
739421,0
740806,0
742278,0
743367,0
744218,1
744825,1
745308,0
745732,0
746210,0
746514,1
746515,0
746598,0
746838,1
747540,1
748268,1
748592,1
749251,0
749647,1
750558,0
750577,0
750686,0
751365,1
751978,0
752714,0
753308,0
754811,0
755001,0
759944,0
760498,0
761648,1
763532,0
763563,0
763744,0
763901,0
763907,0
764038,0
764065,1
764180,0
764478,0
764630,1
764764,0
765207,0
765880,0
766421,1
766792,1
766829,0
767405,0
768899,1
769397,0
769520,1
770460,0
771266,1
773141,1
773717,1
773840,0
775215,0
776867,1
776901,0
778164,0
779152,0
779227,0
780571,0
783324,1
784199,0
785161,0
787250,0
787253,1
788329,0
788784,0
788816,0
788920,0
788965,1
789019,0
789460,0
789570,0
789933,0
790051,0
790273,1
790359,0
790526,1
790816,1
791908,0
791963,1
792966,0
792987,0
793074,1
793306,0
793524,1
793733,0
793952,0
794170,0
794367,0
795266,0
795403,0
796343,0
796534,0
797465,0
797542,1
798081,0
798287,1
798354,0
798359,1
798528,0
798783,0
798941,0
799165,0
799167,0
799233,1
799288,0
799292,0
800457,0
801337,0
802257,1
802481,0
803164,0
803578,1
804269,0
805676,0
805928,1
810332,0
810958,0
811156,0
811222,1
811589,0
811596,0
811641,0
811830,0
812011,0
812074,1
812796,1
813298,1
813672,0
813716,0
813762,1
814453,1
814585,1
814586,0
814676,1
814926,1
815097,0
815556,0
815917,0
816761,0
817720,1
818033,1
818479,1
818686,0
819793,0
819926,1
820027,0
820313,0
820318,0
821002,0
821026,0
821130,0
821189,0
821483,0
822370,1
822416,0
822663,0
822818,0
823768,0
824142,0
825313,0
826154,0
826675,1
827052,0
827099,0
827187,1
828146,1
828944,0
829323,0
830616,0
832101,0
832428,1
832480,0
832489,1
832988,0
833079,0
833640,0
834365,0
835011,1
835324,0
836564,1
837010,0
837465,0
838875,1
839087,1
840489,0
840715,1
842023,0
842162,0
842517,0
842633,0
842717,0
843006,1
844059,1
844856,1
844965,0
845385,1
845698,0
845819,1
845877,0
846377,1
846617,0
846913,1
847942,1
849145,0
849146,0
849395,1
849869,0
850141,0
850429,0
851205,0
851310,0
851520,0
851968,0
853816,0
854560,0
855658,0
855683,1
856982,0
856984,1
857855,0
858470,0
858877,0
859070,0
860413,0
860730,0
860731,0
860748,1
861441,0
861459,1
861842,0
861884,0
862651,1
862668,0
862692,0
862831,0
862861,1
863110,0
863436,0
864240,1
864749,0
866273,0
866729,0
866829,1
867038,0
867840,1
868082,0
868278,1
868671,0
868780,0
872589,0
872912,1
873303,0
873860,0
874015,1
874238,0
874396,1
874499,0
874501,1
874716,0
874761,0
874766,0
875045,0
875320,0
875355,1
875357,0
875657,1
875729,1
876167,0
876343,1
876437,0
876883,1
877212,0
877860,0
878927,0
879101,0
879169,0
879526,1
879635,0
879911,1
880117,0
880266,0
880417,0
880631,1
880641,0
880984,1
882095,0
882361,1
882508,1
882796,1
882835,0
883107,1
883902,1
883948,0
883975,1
883984,0
884144,0
884219,1
884269,0
884624,1
884887,0
885245,0
885275,0
885550,0
885568,0
885590,1
885639,1
885978,0
886136,1
886163,1
886346,0
886744,1
886982,0
887151,1
887343,0
887359,1
887396,1
887596,0
887905,0
887936,0
888491,0
888981,1
889331,0
889348,0
889353,0
889609,0
889900,1
889971,1
890394,1
890564,0
890821,1
890926,0
891014,0
891166,0
891482,1
891532,1
892553,1
893538,1
893847,0
893949,0
894405,1
894501,1
894556,1
894627,1
894671,0
894871,1
895126,0
895417,0
895419,1
895421,0
895447,1
895456,0
895464,1
896159,0
896264,0
896429,1
896493,1
896622,0
896878,0
897077,0
897448,1
898173,0
898174,0
898437,1
899051,0
899460,1
899689,1
899715,0
899751,1
899923,1
900075,0
901491,0
902791,1
903419,0
903651,0
906107,0
906163,0
906345,0
906465,0
906553,0
906709,1
907242,0
907254,0
907471,0
907654,1
908255,0
908259,1
908311,1
908315,0
908937,0
909494,1
909724,0
910073,0
910108,1
910329,1
910406,1
910606,0
910612,0
910638,1
911147,1
911177,1
911216,1
912061,1
912093,0
912242,1
912544,1
912562,1
912593,1
912595,0
912615,0
912728,1
912766,1
912767,0
913142,0
913144,0
913241,0
913277,1
913341,0
914122,0
914139,1
914156,0
914475,0
914748,0
915389,0
915912,0
915913,0
916076,0
916365,0
916540,0
916907,0
917225,1
917251,0
917273,0
917520,1
918541,1
918965,0
919012,0
919864,0
920148,0
920371,0
920427,0
920760,0
921114,1
921299,1
921557,0
921582,0
921638,1
921738,1
921825,0
922224,0
922358,0
922621,0
923139,0
923601,1
923796,0
924168,1
924396,1
924515,1
924719,0
924822,0
924901,1
925528,0
925741,1
926282,1
